genus,binno
Actinoceras,67
Actinoceras,67
Actinoceras,81
Actinoceras,83
Actinoceras,85
Actinoceras,85
Actinoceras,85
Actinoceras,85
Actinoceras,85
Actinoceras,85
Actinoceras,87
Actinoceras,87
Actinodochmioceras,81
Actinodochmioceras,81
Actinodochmioceras,81
Adiagoceras,75
Adnatoceras,65
Akrosphaeorthoceras,75
Akrosphaerorthoceras,75
Akrosphaerorthoceras,75
Akrosphaerorthoceras,76
Akrosphaerorthoceras,76
Akrosphaerorthoceras,76
Akrosphaerorthoceras,77
Akrosphaerorthoceras,77
Akrosphaerorthoceras,77
Akrosphaerorthoceras,78
Akrosphaerorthoceras,78
Allumettoceras,85
Allumettoceras,85
Allumettoceras,87
Anaspyroceras,74
Anaspyroceras,76
Anaspyroceras,76
Anaspyroceras,78
Anaspyroceras,78
Anaspyroceras,85
Anaspyroceras,85
Anaspyroceras,85
Ancistroceras,87
Ancistroceras,87
Ancistroceras,87
Ancistroceras,87
Ancistroceras,87
Ancistroceras,87
Ancistroceras,87
Ancistroceras,87
Angeisonoceras,74
Angelinoceras,87
Angelinoceras,87
Annbactroceras,90
Annbactroceras,90
Anrangeroceras,89
Anrangeroceras,90
Aptychopsis,78
Aptychopsis,78
Aptychopsis,78
Aptychopsis,79
Aptychopsis,80
Aptychopsis,81
Aptychopsis,81
Aptychopsis,82
Arionoceras,75
Arionoceras,76
Arionoceras,76
Arionoceras,76
Arionoceras,76
Arionoceras,77
Arionoceras,77
Arionoceras,77
Arionoceras,77
Arionoceras,78
Arionoceras,78
Armenoceras,51
Armenoceras,79
Armenoceras,80
Armenoceras,80
Armenoceras,81
Armenoceras,81
Armenoceras,81
Armenoceras,81
Armenoceras,81
Armenoceras,81
Armenoceras,81
Armenoceras,81
Armenoceras,81
Armenoceras,81
Armenoceras,81
Armenoceras,82
Armenoceras,82
Armenoceras,85
Armenoceras,85
Armenoceras,85
Armenoceras,85
Armenoceras,85
Armenoceras,85
Armenoceras,87
Armenoceras,87
Armenoceras,87
Armenoceras,87
Armenoceras,87
Armenoceras,87
Armenoceras,87
Armenoceras,87
Armenoceras,87
Armenoceras,87
Armenoceras,87
Armenoceras,87
Armenoceras,87
Armenoceras,87
Armenoceras,87
Armenoceras,87
Armenoceras,87
Armenoceras,87
Armenoceras,87
Armenoceras,87
Armenoceras,87
Armenoceras,87
Armenoceras,90
Armenoceras,90
Armenocerina,82
Arthrophyllum,74
Arthrophyllum,74
Arthrophyllum,74
Arthrophyllum,74
Arthrophyllum,74
Arthrophyllum,75
Atahococeras,60
Bactroceras,87
Bactroceras,87
Bactroceras,87
Bactroceras,87
Bactroceras,87
Bactroceras,87
Bactroceras,87
Bactroceras,87
Bactroceras,89
Bactroceras,89
Bactroceras,89
Bactroceras,89
Bactroceras,89
Bactroceras,90
Bactroceras,90
Belloceras,87
Bitaunioceras,55
Bitaunioceras,56
Bitaunioceras,56
Bitaunioceras,56
Bitaunioceras,56
Bitaunioceras,56
Bitaunioceras,57
Bitaunioceras,57
Bitaunioceras,58
Bitaunioceras,58
Bitaunioceras,58
Bitaunioceras,58
Bitaunioceras,58
Bitaunioceras,59
Bitaunioceras,60
Bitaunioceras,64
Bodoceras,85
Bodoceras,85
Bogoslovskya,34
Bogoslovskya,34
Bogoslovskya,34
Bogoslovskya,34
Bogoslovskya,65
Brachycycloceras,53
Brachycycloceras,53
Brachycycloceras,54
Brachycycloceras,56
