"binno","ratio_mean","ratio_ci","age"
2,NA,NA,0.07035
4,NA,NA,1.287
8,NA,NA,6.2895
10,NA,NA,12.725
14,NA,NA,25.425
15,NA,NA,30.86
16,NA,NA,35.805
17,NA,NA,39.455
18,NA,NA,44.5
19,NA,NA,51.9
20,NA,NA,57.6
21,NA,NA,60.4
22,NA,NA,63.8
23,NA,NA,69.05
24,NA,NA,77.85
25,NA,NA,84.95
26,NA,NA,88.05
27,NA,NA,91.85
28,NA,NA,97.2
29,NA,NA,106.75
30,NA,NA,117.2
31,NA,NA,123.585
32,NA,NA,129.185
33,NA,NA,136.2
34,NA,NA,142.4
35,NA,NA,147.1
36,NA,NA,152
37,NA,NA,158.15
38,NA,NA,163.4
39,NA,NA,166.75
40,NA,NA,169.55
41,NA,NA,172.8
42,NA,NA,179.45
43,NA,NA,188.55
44,NA,NA,196.2
45,NA,NA,200.4
46,NA,NA,204.9
47,NA,NA,217.75
48,NA,NA,232
49,NA,NA,239.5
50,NA,NA,244.6
51,NA,NA,249.2
52,NA,NA,251.551
54,0.12,0,256.825
55,NA,NA,261.895
56,NA,NA,265.59
57,NA,NA,269.955
58,0.0761437908496732,0.00753500382391013,278.255
59,NA,NA,286.8
60,0.157126014508367,0.0110887574159078,291.81
61,NA,NA,296.21
62,0,0,301.3
63,NA,NA,305.35
64,NA,NA,311.1
65,0.043205408820684,0.00453318117108058,319.2
66,NA,NA,327.05
67,0.352063045971591,0.0189029123425255,338.8
68,0.254893482956735,0.00514150129927317,352.8
69,0.27656158463115,0.00813611303274519,365.55
70,NA,NA,377.45
71,0.390239073094506,0.0108950260142122,385.2
72,NA,NA,390.5
73,NA,NA,400.45
74,NA,NA,409.2
75,0.321222959948966,0.0105978932498212,415
76,NA,NA,421.1
77,0,0,424.3
78,NA,NA,426.5
79,NA,NA,428.95
80,NA,NA,431.95
81,0.542538210445468,0.00928314077151958,435.95
82,NA,NA,439.65
83,NA,NA,442.3
84,0.350641025641026,0.0102244694954239,444.5
85,0.208388033535092,0.0167927188872032,449.1
86,NA,NA,455.7
87,NA,NA,462.85
88,NA,NA,468.65
89,NA,NA,473.85
90,NA,NA,481.55
